perigo_reto,perigo_esquerda,perigo_direita,direcao_cima,direcao_baixo,direcao_esquerda,direcao_direita,maca_esquerda,maca_direita,maca_cima,maca_baixo,Q_straight,Q_left,Q_right,melhor_acao
True,True,True,False,True,False,False,False,True,False,False,-5.217,-5.217,-5.217,straight
True,True,True,True,False,False,False,False,True,False,False,-5.217,-5.695,-5.217,straight
False,True,True,False,False,False,True,False,False,False,True,-5.656,-5.695,-5.695,straight
True,True,True,False,False,False,True,False,True,False,False,-6.126,-5.695,-5.695,left
True,True,True,False,False,False,True,False,False,False,True,-5.695,-5.695,-5.695,straight
True,True,True,False,False,False,True,True,False,False,False,-6.126,-5.695,-5.695,left
True,True,True,False,False,True,False,False,False,True,False,-6.862,-6.862,-6.513,right
True,True,True,False,False,True,False,False,False,False,True,-6.862,-6.862,-6.862,straight
True,True,True,True,False,False,False,False,False,True,False,-7.176,-6.862,-6.862,left
True,True,True,False,False,False,True,False,False,True,False,-7.712,-7.458,-7.458,left
True,True,True,False,False,True,False,True,False,False,False,-7.458,-7.458,-7.458,straight
True,True,True,False,True,False,False,True,False,False,False,-8.499,-8.332,-8.332,left
True,True,True,False,True,False,False,False,False,False,True,-8.332,-8.332,-8.332,straight
True,True,True,False,True,False,False,False,True,False,True,-9.88,-9.88,-9.867,right
True,True,True,False,False,True,False,True,False,False,True,-9.921,-9.921,-9.921,straight
True,True,True,True,False,False,False,True,False,True,False,-9.943,-9.943,-9.936,right
True,True,True,False,False,False,True,False,True,False,True,-9.943,-9.936,-9.936,left
True,True,True,False,False,True,False,False,True,False,True,-9.958,-9.958,-9.958,straight
True,True,True,False,False,False,True,False,True,True,False,-9.97,-9.97,-9.966,right
True,True,True,False,False,True,False,False,True,True,False,-9.984,-9.982,-9.982,left
True,True,True,False,False,False,True,True,False,True,False,-9.987,-9.985,-9.985,left
True,True,True,True,False,False,False,False,True,True,False,-9.987,-9.987,-9.985,right
True,True,True,True,False,False,False,True,False,False,True,-9.989,-9.988,-9.988,left
True,True,True,False,True,False,False,False,True,True,False,-9.99,-9.989,-9.989,left
True,True,True,False,False,True,False,True,False,True,False,-9.989,-9.989,-9.989,straight
True,True,True,False,True,False,False,True,False,False,True,-9.992,-9.991,-9.991,left
True,True,True,False,True,False,False,True,False,True,False,-9.994,-9.994,-9.994,straight
True,True,True,True,False,False,False,False,True,False,True,-9.995,-9.995,-9.995,right
True,True,True,False,False,False,True,True,False,False,True,-9.999,-9.999,-9.999,right
